feature	Ackermannviridae	Aliceevansviridae	Allomimiviridae	Autographiviridae	Casjensviridae	Chaseviridae	Crevaviridae	Demerecviridae	Draupnirviridae	Drexlerviridae	Epsomviridae	Felixviridae	Guelinviridae	Helgolandviridae	Herelleviridae	Inoviridae	Intestiviridae	Konodaiviridae	Kyanoviridae	Lakviridae	Mesyanzhinovviridae	Microviridae	Mimiviridae	Orlajensenviridae	Peduoviridae	Phycodnaviridae	Rountreeviridae	Salasmaviridae	Schitoviridae	Speroviridae	Steigviridae	Straboviridae	Suoliviridae	Toyamaviridae	Unclassified	Vilmaviridae	Zierdtviridae
CON16	4558.8437	1716.1108	33.0093	8.1827	3912.6782	3501.2535	435.6045	857.1636	0	2188.8623	318.8115	0	0.3814	0	5131.4396	19.1047	0	23.1226	1908.2556	443.0676	143.5737	0.8781	1452.5698	1047.5868	10228.0418	1771.9243	1.8478	10631.3283	250.5159	0	0	22611.9059	1186.8458	19.6834	13147.9365	80.3003	457.813
CON17	4239.6291	1767.9512	36.6686	0	9174.3996	2472.6241	0	2136.7388	0	2354.0046	237.8943	0	2.7536	0	3428.6536	72.0381	0	22.4075	2333.5348	617.1839	169.7939	0.5789	573.0289	630.3313	15914.4251	1933.1605	0.2429	10220.8252	24.1885	0	0	23867.3693	0.3102	5.1058	30140.6825	25.6515	428.5636
CON18	10463.7359	1294.3276	21.5573	3.8083	6057.0243	3306.4155	644.8136	2004.3096	0	932.6125	220.6416	0	9.6463	0	4665.2062	33.9917	119.7092	49.2429	2602.7357	727.3339	3156.1362	1.5585	706.9505	4547.331	14214.1613	1422.6448	2.3902	6416.1935	267.3241	0	1.1702	25311.3605	40.0538	168.9941	19125.0729	247.5921	2442.3721
CON19	4888.816	3729.9546	51.509	12.8951	3949.0945	2379.6712	0	9185.9574	3.2411	1926.8118	374.2099	0	1.6277	0	8144.8561	137.9452	0	21.3668	1403.8298	244.5368	902.0299	1.2294	981.5718	5723.0408	17388.0163	802.5531	1.6248	5398.2985	70.9447	0	0	21556.5704	0.0877	2.206	11490.5555	427.8822	431.8287
CON20	4179.6462	2097.3021	742.2651	0	1561.7961	1846.8115	0	432.8683	0	1349.222	500.9882	0	37.0403	0.24	6843.8976	89.8482	0	1388.3559	2859.2302	1129.5916	131.041	5.5495	730.6761	27.2129	9369.0586	1422.2354	0	2325.5159	781.7325	0	20.7513	21936.8749	3404.2789	56.6551	17838.9057	121.2997	549.2983
CON21	10715.1981	1233.9903	25.4805	25.3399	7271.8223	8395.496	153.8213	5077.3987	0	1013.8857	271.9822	0	33.7002	0	3551.7879	61.242	9.5538	132.3875	2352.2582	620.5669	819.0383	22.7343	1257.5563	6415.1089	27783.5793	1808.2712	0	7186.9973	192.4789	12.7503	0	14602.5358	0.1725	402.2702	14371.9647	261.0289	604.1322
CON22	5102.1949	3323.5309	86.2729	11.9015	1755.8138	1226.9817	0	941.2014	0.6542	6916.6126	425.3767	0	0	0	4835.7012	85.1248	0	195.3029	2207.7174	725.123	416.6644	7.8174	2014.6336	484.3959	15633.0175	2122.9802	3.9592	3708.2259	149.7048	0	0	17716.866	1.1977	1039.3565	15246.4207	35.3094	1239.1231
CON23	5438.2856	4848.7421	30.836	0	960.9824	970.4394	0	563.0497	0	1858.9951	122.3625	0	0.0604	0	6623.1889	471.1812	0	111.3704	1775.3706	553.3408	106.4684	10.002	329.0648	82.9264	6221.8865	1124.3884	0	4826.7337	1118.1703	0	0.2665	24740.4318	140.6425	102.6148	18929.8411	123.7587	821.8064
CON24	7722.2168	2398.5807	29.0166	6.3228	4245.0084	2964.4638	0.8302	1017.9035	0	662.8415	630.2516	0	1.232	0	4178.8094	142.1062	0	28.2061	2184.7447	507.1073	917.6214	134.2818	1402.0937	953.218	12000.3217	2148.3531	0	5797.5713	99.8265	0.2978	0	20448.6687	152.7463	3.2375	14643.3776	109.075	2193.0631
CON25	4291.0818	477.4087	556.4962	3.0014	689.9684	1233.5655	0	1.6714	0	2128.8167	8399.5126	4.0167	200.063	0	10254.6137	36.6304	0	0.0437	617.2383	41.2497	1.9721	22.154	343.1029	0.0737	10101.6147	684.5368	0	3240.0871	111.7736	0	0	21053.2959	0	17.3344	25681.6384	69.7647	746.3074
CON26	1967.7358	2191.1437	630.1117	0.9338	982.1328	668.6417	0	287.4083	0	1881.1352	10578.6895	2.4601	2.048	0	8004.289	67.1194	0.248	0	425.5056	140.559	43.8504	0	118.7943	1678.7585	7805.4516	510.0423	0	2692.1781	364.2179	0	0	19885.3197	0	0	18363.174	38.2838	161.6113
