feature	Klebsiella.克雷伯氏菌属.	Citrobacter.柠檬酸杆菌属.	Salmonella.沙门氏菌属.	Enterobacter.肠杆菌属.	Cronobacter.克罗诺杆菌属.	Serratia.沙雷氏菌属.	Edwardsiella.爱德华氏菌属.	Providencia.普罗维登斯菌属.	Proteus.变形杆菌属.	Shigella.志贺菌属.	Streptococcus.链球菌属.	Faecalibacterium.普拉梭菌.	Roseburia.罗氏菌属.	Bifidobacterium.双歧杆菌属.	Erysipelatoclostridium.丹毒丝菌属.	Enterococcus.肠球菌属.	Escherichia.埃希氏菌属.	Bacteroides.拟杆菌属.	Lactobacillus.乳杆菌属.	Prevotella.普雷沃氏菌属.	Ruminococcus.瘤胃球菌属.	Veillonella.韦荣球菌属.	Clostridium.梭状芽孢杆菌属.	Staphylococcus.葡萄球菌属.	Blautia.经黏液真杆菌属.	Parabacteroides.副拟杆菌属.	Dorea菌属	Anaerostipes.粪厌氧棒状杆菌属.	Butyrivibrio.丁酸弧菌属.	Subdoligranulum属
MI25	-5.92483441124988	-4.40205963656124	-7.84711211582537	-6.74582877998818	-10.1490024574762	-4.51533074450149	-11.3981742099282	-9.41602221126116	-8.56403995675503	-10.7142017033759	-2.31245144251191	-5.06769809612507	-11.7743226958135	-8.30932081913324	-18.3114024268529	-2.14810882304177	-4.72088779703463	-4.28673919431619	-4.06622940512895	-17.6837211232335	-8.54100898809969	-18.7130508280301	-2.20915983528969	-4.9901751649172	-9.71420170337591	-6.93337741202881	-8.80143454143072	-18.7604665700899	-9.09050680816604	-16.3289115474911
MI22	-6.73249013509908	-4.20295784611337	-13.2631624803193	-6.21182993103869	-5.8622830440371	-4.48061094926226	-9.6673116634554	-13.4006660040692	-6.42682516453608	-12.1990321428996	-4.55925890687462	-6.83232982193547	-12.5526690975143	-8.34321573188532	-18.3114024268529	-3.33861986634873	-13.1376315982354	-2.95710079089095	-2.47994098431804	-15.7225940989566	-12.8157035033481	-18.7130508280301	-2.23896723442356	-2.98312990437066	-8.43719188009434	-4.59524455789747	-11.6781999795981	-18.7604665700899	-8.53276954007657	-11.2307410026269
MI14	-8.92514826863867	-5.29098606185729	-13.5431258265878	-6.47464608870502	-11.8550698329025	-7.90569590597249	-11.6255879867798	-8.95149959558562	-8.84577208832044	-11.9581633258666	-3.17140967387615	-5.59508312431297	-16.7130508280301	-16.7130508280301	-16.7130508280301	-3.8633525261788	-17.7439862890015	-3.67481769329832	-2.82725914236345	-17.6837211232335	-8.49630496983479	-17.7130508280301	-1.41905837982631	-3.77246193367103	-5.72011249186428	-4.02239802868162	-9.71869739117124	-18.7604665700899	-10.8426861084467	-13.2536192093928
MI16	-7.34155983883201	-6.42675214399594	-11.4566858219128	-6.13795711540658	-8.99228224531299	-7.6350530996066	-10.7051841345887	-13.5905415686476	-7.32479630915336	-12.9024855749623	-3.75238815922165	-6.42507621539599	-11.1311099500103	-7.99725420327551	-18.3114024268529	-1.38262906462718	-14.3010349514526	-4.65390362964503	-4.24933164060552	-17.6837211232335	-3.29579319845102	-13.0055790679264	-2.05006369121633	-5.77676037743056	-6.66375141560138	-6.26561098559871	-9.41173841585883	-17.7604665700899	-10.3941443558441	-10.2847331391235
MI1	-7.74804244050199	-6.38879271940889	-10.5016867758148	-7.81420936446774	-7.67528609806668	-7.64023915096747	-9.20003107595372	-10.3132416864017	-6.89315256793966	-9.09506151635218	-3.65605085812538	-6.9097513517037	-9.65182712524269	-8.10777256810174	-18.3114024268529	-2.92795153051692	-9.53563410773816	-2.55883134483161	-2.34657438934388	-17.6837211232335	-8.02106093490841	-18.7130508280301	-2.25624462090333	-5.02519958566676	-8.3543043430236	-3.21467242689222	-7.52707209423474	-18.7604665700899	-10.033133767209	-8.36189749234583
MI2	-7.32435186957533	-6.94949288412815	-13.5923869564675	-7.02861867801545	-11.2324910113811	-8.54508124168913	-7.83749945430402	-9.55091032049133	-7.96789609155969	-13.6919226300184	-3.79494158089368	-6.4583029532587	-14.0398459334387	-13.4118147108257	-18.3114024268529	-3.40718113708521	-13.5923869564675	-1.93462192120212	-3.85463260410721	-17.6837211232335	-7.78675055163618	-16.499277552076	-1.90915837796883	-6.17172490799476	-7.78160112900961	-2.60445978876806	-8.81979745257056	-18.7604665700899	-10.8993647098889	-13.9143150513548
MI3	-7.12164562680645	-5.59606615836829	-18.6181990732734	-5.54578533319255	-8.8129076107908	-7.8232867565708	-10.3076723025404	-11.2091084680568	-8.1721573318839	-9.99451441728075	-4.07090912931692	-4.24310643453897	-10.8926348032615	-13.2365892044789	-18.3114024268529	-3.72438055480374	-12.2931727328453	-1.79097740604514	-3.9572464919169	-17.6837211232335	-9.04221115931204	-15.93702892262	-2.36859772945253	-3.29904561884214	-7.83899683965946	-3.42774875453213	-9.17547769017551	-13.2365892044789	-16.6837211232335	-15.93702892262
MI4	-7.41331118352974	-7.6106214071407	-8.49721244113869	-7.72863189130616	-7.37213157154822	-7.65330079019851	-15.0735618115551	-12.9740261380042	-8.90937317966197	-12.9740261380042	-4.34442666041358	-6.39609383935059	-9.26989193630538	-12.6714633679838	-18.3114024268529	-4.88974922747273	-6.8087841294455	-0.862716554799512	-6.8502495973658	-17.6837211232335	-12.1804770154716	-10.5589886387254	-3.37628392820641	-7.06873942809829	-9.96205349633814	-2.34181852084729	-9.78815959269289	-16.8809167336127	-16.6837211232335	-14.8809167336127
MI5	-1.16557172417148	-6.13287288403285	-17.6181990732734	-6.10891890518552	-9.56291663777219	-7.05309699491306	-11.9743428834987	-7.94931408900713	-8.11040443307468	-13.7113084776649	-3.81568270815215	-5.9617742099956	-9.09856282043016	-15.6181990732734	-18.3114024268529	-4.44561530196423	-14.6181990732734	-3.32710033778946	-4.36553364082313	-17.6837211232335	-9.43332373036509	-12.2258816504946	-2.62344788930703	-5.54606646910614	-5.99066518880058	-5.51000135073755	-9.93169854609016	-18.7604665700899	-9.49407776144419	-12.1587674546361
MI6	-7.74645793786534	-5.44582025660429	-12.1639435881489	-6.31464048409333	-9.87372435298888	-9.23217832390135	-12.9326180420424	-13.5175805427636	-11.5377584247012	-16.1025430434848	-3.87302321330165	-5.15856312914102	-10.2117721132395	-5.19815930348682	-18.3114024268529	-4.04646987349357	-12.8295245490783	-1.50123651736292	-4.09306429759669	-17.6837211232335	-10.4976809853259	-15.3655774493186	-2.65890876713881	-6.37518979751581	-5.58028846861453	-2.58204712981286	-16.1025430434848	-18.7604665700899	-11.3837247960288	-13.2951881214272
