feature	Arthrodermataceae	Aspergillaceae	Ceratobasidiaceae	Chaetomiaceae	Cladosporiaceae	Clavicipitaceae	Cryptococcaceae	Cryptomonadaceae	Debaryomycetaceae	Dipodascaceae	Glomerellaceae	Herpotrichiellaceae	Malasseziaceae	Marasmiaceae	Mycosphaerellaceae	Nectriaceae	Ophiocordycipitaceae	Ophiostomataceae	Phaffomycetaceae	Pichiaceae	Pneumocystidaceae	Pyriculariaceae	Saccharomycetaceae	Saccharomycodaceae	Schizosaccharomycetaceae	Sclerotiniaceae	Sordariaceae	Trichocomaceae	Trichomonascaceae	Ustilaginaceae
CON35	-6.74758793996068	-3.87368182499447	-10.8498577369792	-3.7444953449053	-4.22053049518752	-5.01744948069012	-9.56737996525651	-10.8283006600169	-5.82387152522353	-7.19392156972906	-5.97514946407131	-8.70488348900644	-9.52431124336462	-8.23673465326804	-5.65177215254688	-6.2898459897276	-6.3974549638142	-3.53228930078815	-8.77888407045022	-5.34967923924478	-8.34498754392006	-4.491536207273	-3.24381337497339	-8.75379308948739	-1.4116417700502	-8.07261527350693	-9.18550932991286	-8.65757777422809	-8.25422207999688	-6.12393405079191
CON36	-5.86005234514727	-4.70458539639865	-10.8498577369792	-4.71082633637279	-5.8554357170769	-6.59856010412188	-10.7094815231086	-10.8283006600169	-9.17242750864548	-6.69424345217719	-4.68193019073833	-10.9508989160501	-10.8852444366011	-10.9495565482069	-5.34455466408921	-6.17967027934743	-9.40066330219326	-4.50520962778717	-10.8653896083821	-5.8554357170769	-10.993967637942	-4.3413235428262	-2.41838500598581	-10.9634741239749	-1.06563647879716	-10.9590526097676	-7.01617154706455	-10.733015321686	-10.8846561932557	-6.88806672131686
CON37	-10.977524482626	-4.62880155946069	-10.8498577369792	-3.49389014762117	-4.57684293697648	-4.77426283008146	-10.7094815231086	-10.8283006600169	-5.87927485623804	-6.74089137208212	-4.92102383871097	-10.9508989160501	-10.8852444366011	-5.99515556828818	-5.90861881782019	-5.82698034879583	-5.72340394535328	-3.69011363593281	-7.65549988085147	-6.0984433767002	-10.993967637942	-4.56122497616161	-3.09703518230739	-10.9634741239749	-1.40560996169943	-10.9590526097676	-7.370522922137	-10.733015321686	-10.8846561932557	-5.35697639029906
CON38	-6.65743496352271	-4.18947507350403	-10.8498577369792	-3.51832854406218	-4.46332049651333	-4.81467470533391	-10.7094815231086	-10.8283006600169	-6.09353407832938	-6.60356809154397	-4.43616308208018	-10.9508989160501	-10.8852444366011	-10.9495565482069	-5.01608999290403	-5.75054436791419	-6.13114837012916	-3.77479191416087	-10.8653896083821	-6.15309092300984	-7.26213368230513	-4.45648306645977	-3.09751759224788	-10.9634741239749	-1.57297316912323	-10.9590526097676	-7.56628707546451	-7.75473216487762	-7.14757391804227	-5.42945286049062
CON39	-10.977524482626	-5.15526496291428	-10.8498577369792	-3.41362792902417	-3.95759222025039	-5.17094658514655	-10.7094815231086	-10.8283006600169	-5.78779314688749	-6.5921288246463	-3.5377462044732	-10.9508989160501	-10.8852444366011	-7.3290944188125	-4.89439839376319	-9.406270094789	-5.73633354753094	-2.89983227981382	-10.8653896083821	-5.71318821088308	-10.993967637942	-5.29146934651259	-3.37451979583899	-7.30582463948966	-1.72038132055346	-10.9590526097676	-10.8863592851927	-6.87072948786956	-10.8846561932557	-5.68289428856948
CON40	-7.9005045796554	-3.69652041379941	-10.8498577369792	-3.21736959452931	-5.70831041437206	-4.82497194848804	-7.88614928667833	-10.8283006600169	-6.23147781414577	-7.68637977430255	-5.21344389131551	-10.9508989160501	-10.8852444366011	-10.9495565482069	-6.26358999929952	-7.84392105128903	-6.74346086950982	-3.47088861545367	-10.8653896083821	-5.22921120717383	-10.993967637942	-4.12545403817223	-3.27348147410134	-10.9634741239749	-1.48467832218249	-6.54436076943013	-7.81644031486693	-5.95564613384786	-10.8846561932557	-6.1014172735814
CON41	-6.39444146992326	-5.8094789692021	-10.8498577369792	-3.71837966736787	-5.68196554586784	-4.67327458560379	-10.7094815231086	-10.8283006600169	-5.85298060783869	-6.95462086971453	-5.77652854740082	-10.9508989160501	-10.8852444366011	-10.9495565482069	-5.92336993573009	-6.48279734434411	-7.2712932391504	-3.96254053301077	-10.8653896083821	-5.9598958117552	-7.69510094805697	-5.1639097037768	-2.98253200819823	-10.9634741239749	-1.00842961698545	-10.9590526097676	-8.2712932391504	-7.60970945682633	-7.92336993573009	-6.81424821334998
CON42	-7.21065181214267	-4.7477176546622	-10.8498577369792	-4.05191388466889	-4.58012673404107	-6.3481553358926	-10.7094815231086	-10.8283006600169	-5.90579723061425	-7.61799491963151	-4.91048892593897	-6.61288802919842	-6.26970623820725	-5.97946914249495	-6.49545142666013	-5.61288802919842	-7.31460277618158	-4.07104574484709	-10.8653896083821	-6.5335445978322	-9.33128151732821	-4.6661108857067	-2.89956527690273	-10.9634741239749	-1.2923625280359	-9.58762127058799	-9.71315215267185	-6.72964027546042	-8.1428364279151	-4.61416305804048
CON43	-7.6396675117436	-4.19574889247763	-10.8498577369792	-4.32259698050554	-5.41554420232804	-5.69213493163774	-7.60374793748866	-10.8283006600169	-5.59490606073685	-8.4470224338012	-4.24561920088572	-10.9508989160501	-9.40520225810658	-7.93457243286441	-5.69213493163774	-5.37209394629464	-7.42596081827337	-5.18797154188591	-10.8653896083821	-5.26068967583728	-8.9798964233739	-4.08843586833499	-2.3253365646958	-9.67650427992397	-1.42286052801429	-8.6518422256897	-7.07505365641425	-7.60374793748866	-9.72713035299394	-7.12509433891384
CON44	-6.57204751379922	-4.56804558324172	-10.8498577369792	-4.56804558324172	-4.58546802956154	-6.0378383135427	-8.17312967988365	-10.8283006600169	-5.9729060779083	-6.9073961244489	-4.89731905176095	-7.99065162809826	-8.04895026866292	-7.10970429974202	-6.25225832966819	-4.87078598131469	-7.32693501596269	-4.74950618792694	-10.8653896083821	-4.93461759318393	-7.94842339270896	-4.81597309668531	-2.612002664177	-10.9634741239749	-1.25855978171251	-9.74197251524153	-9.79088211572248	-7.59358067534886	-8.6264952978216	-5.82868414843486
