feature	Arthrodermataceae	Aspergillaceae	Ceratobasidiaceae	Chaetomiaceae	Cladosporiaceae	Clavicipitaceae	Cryptococcaceae	Cryptomonadaceae	Debaryomycetaceae	Dipodascaceae	Glomerellaceae	Herpotrichiellaceae	Malasseziaceae	Marasmiaceae	Mycosphaerellaceae	Nectriaceae	Ophiocordycipitaceae	Ophiostomataceae	Phaffomycetaceae	Pichiaceae	Pneumocystidaceae	Pyriculariaceae	Saccharomycetaceae	Saccharomycodaceae	Schizosaccharomycetaceae	Sclerotiniaceae	Sordariaceae	Trichocomaceae	Trichomonascaceae	Ustilaginaceae
CON20	0	1407	0	1845	552	924	0	0	3339	411	1458	0	219	222	279	1326	588	1785	501	336	0	738	10242	0	23802	0	0	339	0	774
CON21	0	2604	0	11793	3255	3147	0	0	387	828	2070	0	0	1680	1170	681	1236	7185	0	744	0	2415	8943	0	16071	0	0	324	0	624
CON22	0	1587	0	3273	1818	1173	0	0	3237	0	1578	441	0	828	0	0	411	3066	0	882	0	2550	7299	0	23178	0	0	402	0	2010
CON23	732	1737	0	1386	747	534	201	0	0	486	591	0	0	0	357	1614	198	1644	0	1146	0	876	9102	0	23619	0	0	0	390	558
CON24	429	3993	0	2787	1956	1197	1776	0	2349	327	1797	93	270	249	1041	1479	453	2358	126	2313	228	2535	22734	888	30477	186	354	441	318	801
CON25	75	474	132	399	576	696	0	45	2001	63	102	0	657	231	633	1299	138	339	60	1245	102	129	8838	0	20280	78	171	0	0	135
CON26	2841	1215	0	2421	1842	792	186	312	34752	519	804	117	0	240	945	831	462	2751	108	8331	177	414	9567	0	30513	132	0	135	0	333
CON27	837	1770	0	2943	1677	837	333	0	3489	408	1491	99	207	330	540	1461	789	2307	84	1146	270	2505	12246	117	23622	72	405	567	300	1920
CON28	774	8832	0	16476	6441	5115	0	0	1650	2313	7692	0	150	912	6333	7929	2142	16575	0	1584	0	3645	17565	207	31617	447	294	816	759	780
CON29	774	2388	135	7614	4128	2292	243	0	954	1164	1932	84	369	243	1278	2238	1167	6876	171	1371	0	2232	8622	0	21534	513	192	726	108	1059
CON30	2259	4344	279	4569	3732	2052	447	0	3021	615	2112	0	0	285	2514	1119	1365	3666	0	2406	840	2889	14796	846	42138	627	0	624	330	1917
