ID	CON1	CON2	CON3	CON4	CON5	CON6	CON7	CON8	CON9	CON10	CON11	CON12	CON13	CON14	CON15	CON16	CON17	CON18	CON19	CON20	CON21	CON22	CON23	CON24	CON25	CON26	CON27	CON28	CON29	CON30	CON31	CON32	CON33	CON34	CON35	CON36	CON37	CON38	CON39	CON40	CON41	CON42	CON43	CON44	CON45	CON46	CON47	MI1	MI2	MI3	MI4	MI5	MI6	MI7	MI8	MI9	MI10	MI11	MI12	MI13	MI14	MI15	MI16	MI17	MI18	MI19	MI20	MI21	MI22	MI23	MI24	MI25	MI26	MI27	MI28	MI29	MI30	MI31	MI32	MI33	MI34	MI35	MI36	MI37	MI38
k__Viruses|p__Nucleocytoviricota|c__Megaviricetes|o__Imitervirales|f__Mimiviridae|g__Mimivirus	0	0	0	0	0	0	0.000451872148345213	0	0	0	0	0	0.000618655374563324	0	0.000501448014717165	0	0	0	0.000399357832605171	0	0	0	0	0.000953699137456041	0	0.000973194132019713	0	0	0	0.00118212859278352	0	0.00214890876416415	0.000480535243481143	0	0	0	0	0	0	0	0.000899785928516765	0	0	0.00111962981779207	0	0	0.00131756265121437	0	0	0	0	0	0.000317449325433274	0	0	0	0	0	0	0	0	0	0	0	0	0.00153793867809885	0	0	7.70863251618042e-05	0	0	0	0.000401673613932941	0	0	0	0	0	0	0	0	0.000913363609616162	0	0	0
k__Viruses|p__Nucleocytoviricota|c__Megaviricetes|o__Imitervirales|f__Mimiviridae|g__Mimivirus|s__Acanthamoeba_polyphaga_mimivirus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000480535243481143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Viruses|p__Nucleocytoviricota|c__Megaviricetes|o__Imitervirales|f__Mimiviridae|g__Mimivirus|s__Megavirus_chiliensis	0	0	0	0	0	0	0.000451872148345213	0	0	0	0	0	0.000618655374563324	0	0.000501448014717165	0	0	0	0.000399357832605171	0	0	0	0	0.000953699137456041	0	0.000973194132019713	0	0	0	0.00118212859278352	0	0.00214890876416415	0	0	0	0	0	0	0	0	0.000899785928516765	0	0	0.00111962981779207	0	0	0.00131756265121437	0	0	0	0	0	0.000317449325433274	0	0	0	0	0	0	0	0	0	0	0	0	0.00153793867809885	0	0	0	0	0	0	0.000401673613932941	0	0	0	0	0	0	0	0	0.000913363609616162	0	0	0
k__Viruses|p__Nucleocytoviricota|c__Megaviricetes|o__Imitervirales|f__Mimiviridae|g__Mimivirus|s__Mimivirus_terra2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.70863251618042e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Viruses|p__Nucleocytoviricota|c__Megaviricetes|o__Imitervirales|f__Mimiviridae|g__Pandoravirus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000600701214267714	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Viruses|p__Nucleocytoviricota|c__Megaviricetes|o__Imitervirales|f__Mimiviridae|g__Pandoravirus|s__Pandoravirus_salinus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000600701214267714	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Viruses|p__Nucleocytoviricota|c__Megaviricetes|o__Imitervirales|f__Mimiviridae|g__Unclassified	0	0.000292426900455011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000117658075246964	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Viruses|p__Nucleocytoviricota|c__Megaviricetes|o__Imitervirales|f__Mimiviridae|g__Unclassified|s__Moumouvirus	0	0.000292426900455011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000117658075246964	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Viruses|p__Nucleocytoviricota|c__Megaviricetes|o__Pimascovirales	0	0	0	0	0	0	0	0	0	0	0	0.000506427558715311	0	0	0	0	0	0	0.000364845427318304	0	0	0	0.000540922482316875	0	0	0	0	0	0	0	0	0.00079336240437356	0	0	0	0	0	0	0	0	0.000289586275844476	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000420519868208378	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000166181271943977	0	0	0.000692215585797576	0.000205443135483853	0	0	0	0	0.000238637475470056	0
k__Viruses|p__Nucleocytoviricota|c__Megaviricetes|o__Pimascovirales|f__Ascoviridae	0	0	0	0	0	0	0	0	0	0	0	0.000506427558715311	0	0	0	0	0	0	0.000364845427318304	0	0	0	0.000540922482316875	0	0	0	0	0	0	0	0	0.00079336240437356	0	0	0	0	0	0	0	0	0.000289586275844476	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000166181271943977	0	0	0.000692215585797576	0.000205443135483853	0	0	0	0	0.000238637475470056	0
k__Viruses|p__Nucleocytoviricota|c__Megaviricetes|o__Pimascovirales|f__Ascoviridae|g__Ascovirus	0	0	0	0	0	0	0	0	0	0	0	0.000506427558715311	0	0	0	0	0	0	0.000364845427318304	0	0	0	0.000540922482316875	0	0	0	0	0	0	0	0	0.00079336240437356	0	0	0	0	0	0	0	0	0.000289586275844476	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000166181271943977	0	0	0.000692215585797576	0.000205443135483853	0	0	0	0	0.000238637475470056	0
k__Viruses|p__Nucleocytoviricota|c__Megaviricetes|o__Pimascovirales|f__Ascoviridae|g__Ascovirus|s__Trichoplusia_ni_ascovirus_2c	0	0	0	0	0	0	0	0	0	0	0	0.000506427558715311	0	0	0	0	0	0	0.000364845427318304	0	0	0	0.000540922482316875	0	0	0	0	0	0	0	0	0.00079336240437356	0	0	0	0	0	0	0	0	0.000289586275844476	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000166181271943977	0	0	0.000692215585797576	0.000205443135483853	0	0	0	0	0.000238637475470056	0
