feature	Arthrodermataceae	Aspergillaceae	Ceratobasidiaceae	Chaetomiaceae	Cladosporiaceae	Clavicipitaceae	Cryptococcaceae	Debaryomycetaceae	Dipodascaceae	Glomerellaceae	Herpotrichiellaceae	Malasseziaceae	Marasmiaceae	Mycosphaerellaceae	Nectriaceae	Ophiocordycipitaceae	Ophiostomataceae	Phaffomycetaceae	Pichiaceae	Pneumocystidaceae	Pyriculariaceae	Saccharomycetaceae	Saccharomycodaceae	Schizosaccharomycetaceae	Sclerotiniaceae	Sordariaceae	Trichocomaceae	Trichomonascaceae	Ustilaginaceae
MI27	-6.74667132017191	-3.45093164825429	-10.8484856755518	-2.76375851759615	-5.35377016481755	-4.56318705500144	-7.27650503849085	-6.28984283802801	-7.87034569055847	-5.49852871987874	-10.9508989160503	-6.16990597241737	-8.35844665202704	-6.03277615545385	-5.47294835041534	-7.07064434104429	-2.9827301639414	-10.8596785713317	-4.57947353133924	-10.9939676379421	-4.43911895318028	-3.06808863614053	-8.64795326922204	-2.22222116914693	-10.9585027164693	-7.70636995544734	-7.96702170997013	-8.95280785075045	-5.94927615978018
MI28	-7.05530638084582	-5.46398838508484	-10.8484856755518	-4.03279158650799	-4.86325856850536	-6.27690283248434	-9.33951480978404	-6.20095397925106	-6.32216756622013	-5.39889335686295	-10.9508989160503	-9.77014916411388	-7.07454259970874	-5.91433275309964	-6.25662180143568	-6.14396400066622	-4.60022416267156	-8.6790012760557	-5.50907627461338	-8.02692457947602	-4.74296433478765	-2.7098448328307	-9.08425775454203	-1.17007466636706	-8.93615911555286	-7.57946560250477	-6.31071754547659	-7.28248386474765	-5.28808657097702
MI29	-7.62278145082421	-3.97476677956773	-10.8484856755518	-4.82395060107312	-5.51188785931197	-6.06282295623293	-5.22834085615246	-5.22269429301132	-7.84765486166439	-5.67194750762807	-9.26849798262447	-8.73084119668166	-9.13523145176097	-6.32787652970338	-6.19478829644144	-6.84765486166439	-4.8673431965865	-10.8596785713317	-4.81755282987498	-10.9939676379421	-5.29788178940554	-2.52066594210048	-6.04776861051064	-1.23454219532078	-10.9585027164693	-9.76326267437408	-7.5361937658281	-7.44133457948667	-5.68741891639051
MI30	-10.9632863218059	-8.21599430897881	-10.8484856755518	-8.06382746829554	-8.83661451831744	-7.98520945341544	-8.83660118914233	-0.133567331283107	-8.3142438974776	-9.56373837524781	-10.9508989160503	-10.8852444366012	-8.70207631101994	-9.66111183964696	-9.40395400014989	-9.40066330219327	-8.06371906700321	-10.8596785713317	-8.61229807998619	-10.9939676379421	-9.22493646179604	-4.3629343932363	-10.9615943907567	-5.32215391142508	-10.9585027164693	-10.8781175699255	-10.7322428143811	-10.8829440425428	-9.89429147428145
MI31	-5.18427061680609	-4.44906548050432	-10.8484856755518	-5.14950519864541	-6.24414207278349	-5.9923588019244	-8.21989452653683	-5.41942599006445	-7.85999858145045	-5.17550040717835	-10.9508989160503	-9.08239100278688	-7.8413829032831	-6.5721962704677	-5.3530964219736	-7.10441730911687	-4.93943304894483	-8.45435978017385	-5.99750210520036	-6.5876263110373	-5.21090574330955	-2.41885086745731	-10.9615943907567	-1.13721322358646	-7.61899048194664	-7.76923311752725	-7.51207527803012	-7.8413829032831	-6.28129507120096
MI32	-6.18967651423742	-5.17891008336835	-10.8484856755518	-4.47723323920528	-5.06302037272447	-6.33150920865038	-7.92844435103764	-5.26453050892164	-7.60651625615027	-4.97890941802059	-10.9508989160503	-9.29617613553819	-7.16290960467465	-6.09050110914659	-6.41116865782804	-6.27882889197419	-4.81366090378775	-7.31963510836208	-4.91721709561436	-6.15234036296445	-5.48218812114805	-2.81522310755804	-7.45595657957487	-1.12318414488176	-7.74257780572627	-6.75052655884177	-6.52927325721778	-8.14184798914684	-6.62832062646861
MI33	-6.72912227986129	-4.38393256225386	-10.8484856755518	-3.67288191765471	-4.14331038550894	-5.1188930205297	-6.87378052269317	-6.70887359601748	-6.84035752115572	-4.39299032159734	-9.58837830383094	-8.17334080455209	-7.79696492564235	-5.30013333519984	-6.15610409962677	-5.56089756740881	-3.67717839616999	-9.66432715706429	-5.97291371471242	-10.9939676379421	-3.97820524031247	-3.60816547620871	-8.74449750574822	-1.50595628328211	-8.38192742636352	-8.36598588249447	-7.49874109134623	-7.95491728541857	-5.38996474542891
MI34	-6.88597968769841	-4.86640414936165	-9.49478893037394	-4.92594609501605	-6.90183363889925	-4.88795193003002	-9.70123980784139	-5.00507474480059	-8.04412752136439	-5.09561783655411	-9.40167952598249	-9.8167170252614	-5.81296489040019	-6.75782333620773	-5.22675384348177	-7.77232290590285	-4.78696968186724	-8.35728540662401	-4.98171934813456	-8.21185496710244	-6.08426691221758	-2.93305548306443	-8.78696968186726	-1.03686090232702	-7.68743400831635	-9.87811756992545	-8.59432460392486	-8.33559033552468	-4.90582449909528
MI35	-5.77701268450099	-5.27718963625425	-9.35373119112724	-3.78426502672925	-4.83661704486826	-5.5124289371463	-8.57304421953175	-5.21496712117139	-7.4893862904848	-5.31495286337074	-9.59473929063109	-8.966708068018	-9.28158140537142	-6.28598658449141	-7.26409397864258	-6.61676559696104	-4.11753297026576	-8.93869369184845	-5.89766642358834	-8.11557145393249	-4.07593713777275	-2.84106668962642	-8.80624339582479	-1.31144043274916	-8.02442356587428	-7.18792229815717	-9.73224281438106	-7.966708068018	-5.03922056780236
MI36	-7.23494229303922	-5.8763113151894	-10.8484856755518	-4.98748069112587	-5.5780458980764	-6.71330572768687	-10.7012398078414	-4.59356648341278	-7.00624161923452	-5.78925458092017	-10.9508989160503	-8.85574999270711	-7.06797060898623	-6.18279101098809	-4.71484789249527	-8.14072695142156	-4.58226225287746	-8.65293310970741	-5.28217425228773	-7.96896060315508	-5.74446665917333	-1.68091850242011	-10.9615943907567	-1.49653914572974	-10.9585027164693	-7.64115594193105	-7.18279101098809	-9.53927632791182	-6.64703250826771
