Compounds	AMI1	AMI2	AMI3	AMI4	AMI5	AMI6	AMI7	AMI8	AMI9	AMI10	AMI11	AMI12	AMI13	AMI14	AMI15	AMI16	AMI17	AMI18	AMI19	AMI20	AMI21	AMI22	AMI23	AMI24	AMI25	CON1	CON2	CON3	CON4	CON5	CON6	CON7	CON8	CON9	CON10	CON11	CON12	CON13	CON14	CON15	CON16	CON17	CON18	CON19	CON20	CON21	CON22	CON23	CON24	CON25	CON26	CON27	CON28	CON29	CON30	CON31	CON32	CON33	CON34	CON35	CON36	CON37	CON38	CON39	CON40	CON41	CON42	CON43	CON44
2,4-Hexadienoic acid	3105.19	2362.94	3524.6	950.16	4535.55	5563.75	1226.88	1853.4	6042.32	1234.71	4638.56	2834.92	5467.85	1572.86	11111.19	4956.23	3940.93	2659.88	2422.59	2525.97	4537.98	4925.44	2535.25	1740.34	3425.59	2534.29	3548.99	4143.06	1428.83	4400.24	10233.93	2465.59	2433.93	1476.98	10077.78	935.65	2191.31	1490.35	7280.68	7568.8	5166.43	4059.22	3977.35	1178.03	7251.29	2051.13	1233.17	1481.11	1468.85	6863.05	1957.33	2903.45	1094.18	5358.56	3680.15	831.75	4994.35	6793.32	1509.28	6166.25	5997.64	2752.79	3993.57	708.3	1205.9	1483.26	1393.65	2209.84	2388.45
Naphthofluorescein	8491.84	5185.09	3928.55	5096.83	3973.01	1394.4	3644.7	3455.11	2837.01	4789.58	7228.66	5584.09	7219.82	3179.11	7735.23	3786.06	8293.18	10271.34	5579.87	3080.27	5050.72	8125.39	5894.81	4373.19	8412.41	657.01	1151.51	3059.86	4812.8	3947.65	5823.98	1950.79	4975.29	7780.7	6828.24	5086.29	5608.52	4847.35	1749.71	4157.35	5339.14	3128.29	2991.32	4502.76	3361.94	658.34	2061.61	2074.36	2468.78	2973.93	1549.37	892.07	9169.36	1886.68	9199.37	1963.5	9985.86	7411.65	6790.51	10967.45	9203.64	6201.93	9375.61	1152.54	941.56	3200.45	4701.61	1307.68	2484.0
3,5-Dimethoxycinnamic acid	940.54	4161.58	1638.26	1104.43	5234.36	2239.85	2359.43	2514.78	2148.65	2781.93	1415.23	1233.26	1887.45	2903.54	4364.03	7804.95	1334.32	833.05	513.94	2675.04	1148.52	1165.99	1256.05	2387.91	3065.22	1210.14	552.3	2324.79	1334.5	747.34	2662.59	1170.48	1475.0	2036.12	4126.27	1298.7	1354.54	1264.03	4809.7	2890.45	5691.99	6970.87	5780.67	1070.22	1965.16	678.11	3389.38	2453.9	1865.57	4334.92	3869.17	3786.95	4562.18	2789.92	2800.6	1907.87	2311.55	3933.46	3451.84	4519.16	5184.29	5174.49	3042.2	1245.66	2305.89	3060.37	3172.26	1523.1	1240.72
Valylcysteine	2613.14	2305.94	2427.44	2653.18	4426.08	3859.66	2668.64	2075.39	2479.9	2210.31	3329.46	2757.42	1764.17	1331.8	2482.84	1554.26	2802.09	1220.65	2873.41	814.78	3002.89	1268.52	1322.05	1643.9	1420.6	2306.14	1320.63	3736.87	1056.85	1524.53	2395.6	838.46	2885.66	2124.95	1883.57	2962.57	1548.91	952.45	1323.03	1048.05	984.45	1093.4	2357.02	1465.4	1797.51	2611.95	1873.0	2761.44	1130.47	725.58	2588.18	1653.11	936.16	1269.32	1335.03	2267.11	1474.81	1146.3	498.12	571.77	1516.46	1407.18	2118.24	1987.82	605.77	2101.18	1025.7	2704.78	1600.31
propan-2-yl (Z)-7-[(1R,2R,3R,5S)-3,5-dihydroxy-2-[(3S)-3-hydroxy-5-phenylpentyl]cyclopentyl]hept-5-enoate	6156.44	5307.5	7508.41	2657.8	7402.55	3381.94	4865.99	2120.85	8063.42	3011.04	15420.15	3823.25	3144.58	21565.79	9533.04	16645.32	15801.38	2831.72	4546.76	8255.88	12400.99	7621.46	15517.9	4801.28	8031.49	5410.77	5523.2	949.53	5556.87	6866.4	7945.01	2052.84	2731.36	8568.76	19519.77	9356.94	5651.04	9878.29	8883.08	12046.23	1003.66	1180.65	4178.07	3448.6	18405.19	8102.68	2509.24	700.89	3370.82	19654.11	4358.59	3787.79	1978.89	2546.24	735.34	1234.73	5179.63	11715.8	1010.85	11005.27	11098.39	3363.92	11919.04	8599.73	1668.09	24789.8	8559.85	4242.35	13882.11
5-Methyluridine	5650.27	5401.13	6081.83	5955.49	8658.87	5239.05	4863.54	3745.97	6758.02	6349.56	7311.75	5220.77	5460.71	4220.98	6513.08	4430.19	5478.09	6210.57	6517.11	5110.43	7148.87	5340.9	4571.17	4634.34	5782.62	5841.41	5724.5	6717.42	3826.12	4085.73	6683.2	5096.26	5470.54	5020.82	5385.71	5749.62	5346.3	4055.87	3414.79	5721.38	3585.77	4966.58	6048.39	5762.92	4846.96	5702.86	3593.22	5643.29	3748.09	6028.06	5497.83	4773.43	3612.25	4585.73	5705.52	4921.22	4789.21	4438.75	3849.39	5584.88	6578.15	7928.93	5109.98	5860.89	2598.38	5258.09	4583.18	4421.98	4979.55
p-Toluenesulfonic acid	1335.63	1018.25	1855.69	638.14	3945.47	732.03	4864.09	792.83	1536.27	625.27	1330.25	829.5	639.46	813.66	3010.97	970.49	665.02	762.95	742.5	1143.64	710.33	1024.63	853.3	1005.16	909.94	1338.08	605.14	5979.29	1412.92	1021.14	978.29	672.57	2784.11	839.36	1232.16	2908.23	599.56	1209.02	1796.25	578.96	754.34	670.13	820.31	1119.2	556.37	1709.36	783.17	1695.93	679.39	557.19	569.95	932.6	667.23	643.13	665.92	1259.13	1817.57	767.62	759.26	2557.66	960.38	1025.72	971.44	761.49	592.89	1366.39	942.3	543.12	670.14
6-keto-PGF1α	5770.25	5016.14	4795.48	8207.06	5877.78	4780.53	5965.98	4675.51	11803.15	3397.32	9219.7	5909.53	5386.89	7602.85	53297.79	5911.14	5528.86	4272.76	4644.31	3632.57	7534.49	4451.62	9785.78	4317.94	7669.43	9022.34	11904.22	6494.54	3620.29	12817.62	7083.68	4360.34	4250.47	5069.17	4978.88	5442.09	7570.93	6320.52	6638.21	17637.83	6148.55	5183.22	11865.76	4670.84	7011.84	5092.5	8853.3	4698.73	4782.5	4799.63	7871.06	7416.31	4836.27	7959.16	8622.17	6757.65	4632.03	26011.86	9492.11	7233.91	6486.97	6012.72	5794.25	5422.05	8535.22	3334.71	4651.52	7851.83	7752.95
GW 590735	0.21	0.21	1.28	0.21	0.21	0.21	156.08	1.25	0.21	53.92	55.62	0.21	0.21	230.3	37.94	0.21	0.21	8.92	0.21	0.21	0.21	0.21	5.56	29.57	0.21	0.21	0.21	242.81	0.21	0.21	0.21	0.21	0.21	0.21	2.31	14.97	0.21	0.21	0.21	0.21	1.14	0.21	1.91	0.21	0.21	0.21	0.21	0.21	37.36	0.21	36.67	0.21	0.21	1.92	0.21	5.23	0.21	2.27	0.21	11.28	0.21	1.19	20.01	0.21	0.21	0.21	0.21	19.52	0.21
Caprylic acid	7666.41	8806.2	9214.06	6581.2	6839.36	6808.48	7622.44	4932.07	4762.99	9804.62	7326.2	3761.25	4335.95	5885.66	6234.91	5598.27	5199.92	9610.75	7471.84	6128.68	6396.41	5265.94	6195.58	6874.22	5342.73	9484.18	7507.67	4981.72	6554.19	6922.75	6161.41	3206.68	3306.36	5831.51	8789.78	6590.2	6119.56	3185.57	2895.37	3469.66	2594.09	4712.46	3854.67	4193.05	5132.68	7156.76	4580.42	10787.6	5967.47	7537.32	5858.96	7528.48	6983.62	5902.09	6986.44	5546.64	7019.09	5125.65	6865.62	5688.79	5507.42	7394.31	7327.07	7515.32	5722.09	5630.13	20674.23	5340.19	5828.22
Traumatic acid	1548.33	8587.7	905.2	5867.12	6333.26	6762.41	5702.97	6013.89	7395.56	6637.35	5842.59	2041.95	2581.66	6837.14	6968.15	5329.24	5086.51	2582.29	4292.07	6491.49	7718.77	6290.55	79345.21	2176.37	3687.9	6383.34	4759.29	30089.14	6185.13	2364.22	8238.62	6219.15	3548.42	2488.26	31081.58	6338.19	5266.83	2175.75	18874.98	4426.12	5560.66	8026.76	5785.07	4987.9	33449.19	5454.85	670.98	4746.01	5723.57	5498.15	6199.46	3278.52	5815.54	11094.9	5809.91	7086.58	980.04	5013.33	3664.14	4605.43	4706.55	5328.67	3082.01	3754.19	5069.62	5294.79	3000.64	1895.17	6326.12
Docosahexaenoic acid	20041.58	11377.28	20305.26	56704.12	23036.38	28671.32	18747.27	8447.95	11580.87	8637.41	21235.61	39684.11	13007.52	12717.78	18219.59	20694.72	22219.08	16499.55	18598.76	25362.28	15298.78	19633.35	17294.66	17010.7	28465.06	11392.22	11292.62	37562.09	10702.7	36219.24	10999.72	12586.28	17437.17	22709.23	10883.88	22846.76	19312.71	13356.26	15377.27	10732.83	29406.09	7123.46	18259.69	25761.1	21371.35	39095.87	23559.4	5060.0	10495.44	11769.68	12295.35	8672.95	13224.17	21195.62	8622.32	8980.01	10968.91	10930.12	16303.32	17654.05	10633.47	7601.54	6665.06	6717.65	9337.8	12823.66	5260.3	7546.87	13941.76
Cinnamoylglycine	2216.51	1037.74	570.21	6697.35	2485.77	1044.34	1187.74	400.53	1437.86	693.12	1943.12	1343.34	860.66	431.7	2467.5	2340.65	820.06	2244.83	957.75	3548.21	2719.44	2164.25	1083.45	2492.63	1126.33	2672.99	7138.58	1235.57	580.59	2141.52	1275.0	425.64	2006.93	1049.1	1642.57	804.82	1003.67	2970.78	2341.57	1303.95	2054.59	2694.12	522.6	4407.55	4438.45	2090.48	451.25	2873.64	1514.46	704.62	1137.97	6269.8	1762.31	960.6	1794.86	1937.21	519.9	1601.9	1066.12	1085.09	619.81	1398.46	1912.47	1682.95	1235.66	789.95	866.82	2569.22	4259.65
Methyl 2,4-dihydroxy-3,6-dimethylbenzoate	37530.1	7505.66	12043.04	23612.61	24726.45	21002.2	39837.88	8797.3	53650.79	9276.29	35392.58	25828.72	45309.87	9037.22	12085.57	28034.04	27232.84	28170.73	22628.43	13212.34	38173.66	18970.32	13268.97	28799.03	24282.32	15241.34	8434.82	11026.75	21179.78	42426.38	26840.31	7518.88	13422.65	17391.35	17129.25	9369.2	65820.25	21587.05	3554.88	3548.21	14193.16	5051.28	14352.31	33978.07	15115.24	28621.68	10515.34	13261.1	5661.16	5196.52	4087.4	3425.89	1527.63	8269.95	12846.3	12225.73	2882.44	4208.23	6006.45	5716.21	2052.59	2795.84	4708.05	4652.03	3742.32	15282.48	5295.51	9140.4	31393.17
Pirinixic acid	13867.34	8319.22	18913.35	5141.76	16490.15	22001.76	9407.33	978.32	11071.17	4089.32	20038.54	24814.16	1512.07	470.51	17061.33	2718.17	6795.62	1696.8	1749.35	2837.26	2865.35	4440.39	7565.27	3305.94	22289.43	16247.12	4911.62	12802.33	3126.44	5100.01	2876.04	5077.25	5531.95	11347.7	3036.95	1744.58	1833.94	9935.1	5155.31	4315.34	1541.52	13365.3	34652.17	6735.67	4429.01	12356.46	11606.99	5267.77	3680.5	7049.51	7399.78	2366.31	10383.38	8730.18	17959.91	10243.57	30189.23	16387.16	12302.62	9512.33	4360.65	6545.05	16785.03	6791.01	5094.05	18095.88	11236.45	19435.0	6061.34
2-(3-(Trifluoromethyl)benzamido)acetic acid	1043.3	1349.08	4286.69	1008.83	742.88	838.93	8397.61	608.53	1420.61	795.03	1192.55	1209.99	810.75	1514.47	1230.62	320.45	622.37	1055.25	998.06	555.76	1904.78	443.61	1101.15	969.05	412.54	639.73	1088.79	1210.3	879.22	283.09	1851.11	10446.29	373.12	289.83	571.68	1147.71	924.18	1737.17	1358.04	1193.88	1389.93	699.58	409.95	4392.43	787.27	1684.18	1575.86	528.09	937.14	1271.09	1543.08	3414.26	1373.94	1506.68	752.04	1176.49	852.21	584.04	901.12	1119.25	1075.68	482.05	346.27	1209.96	543.41	1965.79	1414.97	1122.53	311.82
Vanillin	1623.46	1873.51	1928.45	1474.13	1795.99	977.08	1394.6	5153.57	1329.15	2048.2	1753.66	1428.92	1441.47	683.5	1760.24	1038.06	1870.16	1524.3	1485.4	1587.95	1948.33	1091.67	2138.49	1571.6	908.74	1992.18	2288.08	1798.57	1801.16	2215.81	2176.16	2016.86	2610.14	2125.71	1857.02	2068.26	1478.62	1849.91	2141.09	1631.82	1962.5	1595.65	1652.94	4817.4	1927.3	1530.22	6050.95	2328.12	1578.44	2121.99	2253.59	2096.9	1646.72	1601.42	5099.84	4654.09	5087.52	4932.9	1566.83	1429.98	3996.25	1296.76	1909.06	1748.21	3204.46	4144.3	1695.18	16424.25	5085.67
FFA(14:0)	20835.56	21441.47	17870.54	25454.83	22570.51	27162.65	19776.17	17612.92	16751.37	22390.79	38147.47	24274.33	19199.92	22469.94	19925.01	21390.51	25623.3	21681.83	18158.04	21303.71	23758.0	18300.48	11288.85	8870.14	19481.9	24656.06	22469.28	24029.11	29007.42	19916.32	23376.17	19755.29	20189.14	20486.78	20333.93	23795.99	24498.78	21573.42	17490.98	18600.15	18015.75	24914.29	18999.1	22100.39	21094.96	23347.28	18390.24	20088.73	22587.16	20467.45	22382.77	16831.08	15097.62	16508.54	12581.6	21151.02	24280.91	15216.33	16022.15	18046.82	15336.95	17960.15	18671.13	25501.99	19967.37	22092.23	21820.7	20835.08	17061.08
Paraxanthine	34.88	1775.32	518.99	2619.87	2326.57	45.72	36.58	35.27	32.94	56.25	34.53	67.87	44.77	53.74	34.06	34.88	70.05	28.99	38.49	37.23	290.56	61.01	34.87	85.3	34.88	34.92	35.52	34.88	294.33	36.22	55.46	34.95	37.24	37.53	5178.81	67.36	34.88	34.88	34.91	34.88	37.76	36.25	207.52	34.88	35.88	34.88	47.96	35.11	58.01	35.44	34.34	41.68	36.04	38.02	34.88	42.62	34.93	741.95	34.89	35.01	34.96	35.46	35.08	38.47	39.65	55.51	40.29	35.48	67.74
Hematoporphyrin	3525.74	445.99	1157.72	2159.6	2462.76	1770.81	729.51	305.71	2678.6	354.15	3488.79	2837.53	2930.35	1639.16	3967.46	1028.63	6200.79	4638.43	850.43	1245.55	1565.61	2175.53	2897.26	1715.25	5275.46	1306.73	1817.26	1288.99	2533.04	5447.0	2035.53	788.05	1202.65	2873.56	975.13	1426.67	2112.93	1492.45	567.11	1445.09	3214.04	886.06	502.36	557.24	496.78	3964.62	292.78	313.51	2908.1	653.46	1920.84	1050.44	1001.02	1560.07	2043.81	559.24	1210.76	3001.79	783.37	5449.2	1932.22	1062.27	2177.27	609.19	578.28	2506.4	595.52	429.94	1445.1
SB415286	3372.85	3494.64	3383.96	3848.89	3573.03	3783.77	2883.56	3228.95	2930.53	3766.22	1865.16	3478.45	3197.15	1790.13	2737.29	3407.64	2059.05	3098.18	3320.33	4159.17	3642.66	1620.42	1665.45	746.9	2972.43	3201.36	3609.89	3891.81	3831.34	3892.45	3085.7	3482.95	3504.09	3227.07	2988.74	3718.45	3384.22	2757.44	3286.99	2666.93	2746.79	3831.02	2929.47	3170.05	3044.19	2916.29	3467.14	3020.43	3699.43	3388.45	3865.48	3564.95	2492.89	3499.83	3446.66	3435.46	3535.78	3486.63	3278.1	3199.31	2660.36	2850.23	2589.24	3178.75	2524.04	2848.89	3566.01	3829.73	3079.42
5,6-DHET	11552.93	15056.18	20789.27	16354.41	33662.07	15071.32	13459.19	12161.96	14407.94	11444.45	16105.91	13211.76	14489.69	12006.73	13161.78	19752.08	12985.54	12958.96	25043.32	13018.11	12698.1	18404.63	12407.85	11903.2	12061.29	14497.86	12800.83	12244.63	11500.6	13294.95	23910.23	10267.36	11913.32	11177.91	13964.4	24168.61	10863.61	12544.45	11255.13	18119.77	10322.79	16776.02	11958.41	15167.14	23622.09	102279.71	18280.15	14256.93	10402.3	13273.11	11264.41	27470.44	20486.26	59872.53	17131.94	32524.52	13244.43	36386.59	33769.69	32825.59	21042.05	14579.89	11119.22	29318.16	13610.76	14319.84	24605.6	11252.21	17797.25
Tyrphostin B42	10523.2	4345.25	3967.48	7977.99	8127.99	3669.9	3150.9	3326.6	6855.39	3929.7	7062.87	4164.4	5459.16	2031.02	4393.04	16441.41	4177.05	5890.01	4167.11	1777.45	7309.55	4554.29	8514.78	4875.98	6677.85	692.53	2146.15	2830.9	5447.45	3199.17	3407.44	517.27	1712.18	3071.14	2385.89	3171.73	2202.66	1470.14	720.16	1807.55	2631.77	2514.63	2371.45	3730.16	1627.27	7955.58	3534.22	2182.13	3472.95	1827.67	3038.71	3117.62	3229.63	6491.56	2021.9	2353.0	1742.41	3396.2	855.06	1924.05	1172.36	1589.28	1217.61	2034.92	2026.12	4086.3	2471.21	1463.04	2599.24
Riboflavin	649.37	382.01	659.22	713.51	1691.91	645.5	6664.67	2839.22	3292.81	488.39	583.29	404.04	510.24	527.25	4958.42	767.08	431.31	1328.87	3955.86	329.82	1513.95	1168.31	1579.52	5248.03	654.84	4701.24	567.03	735.14	380.92	453.71	633.17	1320.29	425.72	683.99	489.61	644.14	2093.14	627.91	895.99	668.16	486.51	253.73	516.38	732.56	677.77	626.13	343.16	599.1	459.35	270.08	400.02	420.39	634.06	1372.16	938.65	381.95	427.39	885.28	419.2	965.4	1065.75	937.3	766.32	489.46	526.98	838.96	1334.44	1586.78	540.78
Kainic acid	4508.48	5189.02	5622.49	2581.63	4680.81	4521.98	3036.24	4248.92	1230.99	4677.32	4547.15	4481.44	3736.32	3602.5	3631.91	4147.14	4943.39	4301.48	4266.51	4806.58	3816.97	3779.86	3743.73	3683.8	5501.22	2568.23	4109.14	3641.17	4492.77	2519.57	3228.63	3415.56	3500.95	3674.55	4273.57	4376.85	2439.56	4770.12	3041.59	3499.09	3262.47	5292.19	4414.9	1141.47	3965.06	3280.62	5666.17	4867.63	4437.92	4204.06	4475.07	3672.36	4192.24	4134.45	4500.8	4943.4	1833.38	3925.07	4540.35	4206.99	4245.73	4850.03	4360.81	4441.0	2838.67	5257.32	4547.52	5342.43	3948.62
Rosmarinic acid	6580.89	2941.2	717.06	3053.19	1682.21	3388.14	5746.48	1767.33	2070.78	5172.49	3402.9	1993.93	2428.02	778.45	3686.41	6619.07	3016.86	3873.06	543.0	5364.71	1797.63	3351.45	514.46	962.33	3084.65	2076.63	1706.35	1361.96	538.32	4442.66	490.37	3477.88	4347.08	2213.71	3788.89	3406.97	739.7	727.0	1194.04	879.99	738.16	1142.34	2704.29	2848.71	2127.72	3007.51	1172.51	718.01	855.27	2998.05	1020.56	5284.47	3046.06	5440.98	2396.78	1049.46	2564.11	2794.48	1434.12	1740.52	5960.83	3636.22	1673.07	2130.29	2470.75	1019.37	1558.72	696.63	1617.08
N3-(4-fluorophenyl)-1h-pyrazolo[3,4-d]pyrimidine-3,4-diamine	2929.91	974.62	1984.17	619.8	1891.75	895.66	1248.13	706.72	522.76	831.31	27127.41	594.31	1120.92	1124.85	653.67	1004.29	1358.67	560.34	790.36	623.28	1161.74	1898.89	507.76	974.68	808.39	893.02	1135.22	7162.16	494.28	799.29	2156.14	797.45	988.45	671.06	1004.49	1066.12	578.49	425.45	1427.91	1105.54	418.18	738.72	1283.49	768.93	1474.16	1133.25	784.47	661.71	1142.49	1291.91	667.51	1476.05	26722.66	1377.63	2271.04	594.24	1205.38	6641.68	1161.73	2848.9	1275.29	1212.48	1773.68	916.54	863.06	485.51	970.62	1082.16	924.15
Kirenol	3543.59	2665.73	5057.27	6695.94	6287.79	3947.2	3169.13	1853.8	8934.88	3497.45	3334.68	4273.05	3007.92	11783.75	10099.06	6925.97	3544.68	3130.38	5691.07	2460.49	6754.09	3278.78	7346.86	1854.63	6457.92	6684.54	10652.3	3453.53	5246.8	5932.15	11302.7	2746.63	7531.61	3487.79	3622.42	4138.11	6490.48	18393.35	8345.9	37135.24	5621.59	3627.26	7042.59	16248.51	5599.98	3692.45	5915.8	2816.49	3838.94	3163.79	5019.14	5267.37	4604.71	6188.21	5350.37	5237.48	4610.29	9921.24	6240.84	7230.62	6539.99	3742.82	7289.52	5262.28	6931.27	2744.89	4050.7	3851.75	5109.51
Oxoadipic acid	17040.51	8535.55	12165.25	10601.84	14599.36	21804.94	18089.11	8069.84	16078.54	12023.8	22865.08	14478.44	8895.31	9394.03	7315.01	11534.53	14181.44	20944.85	21841.85	11929.82	25927.27	16266.12	14293.34	20734.06	6644.52	12322.01	7794.25	8812.37	20082.14	8421.83	11063.45	2261.07	12493.45	20776.81	9577.25	7886.92	14949.12	14359.41	6903.41	5241.86	7765.29	6146.74	18210.84	9433.57	9925.39	22775.98	9430.02	18063.89	7757.12	7559.8	9225.65	6444.76	2589.36	16175.47	6783.11	14806.16	5893.59	5561.1	4762.02	10223.63	430.64	2855.18	8090.94	6742.45	5333.46	17415.15	6539.63	8662.91	10430.4
2-Methoxyestradiol	6251.09	9276.76	12467.11	19142.09	18201.95	13579.66	11155.97	5445.31	8704.79	19325.29	8516.39	7088.06	7960.44	6993.73	23999.39	8465.46	7145.94	13583.08	11898.45	14324.75	10736.73	12447.02	13488.23	10002.15	12106.49	10538.61	8287.24	14384.85	14395.88	5335.47	7425.67	4456.94	12699.38	13097.87	1048.83	10243.38	8628.32	6933.25	7179.01	10870.94	14083.57	10211.03	9035.92	13960.25	11821.26	9121.76	6075.2	8065.39	4581.39	2501.1	3605.46	5222.49	8325.49	19214.77	13867.99	3762.42	11210.85	6241.0	10952.4	4803.73	7232.08	1691.4	2281.7	5193.34	2865.73	8938.94	3309.35	9428.68	8389.25
Aminopterin	13299.41	10692.36	20442.07	12272.37	26576.22	15791.31	3985.29	11574.19	11545.48	9515.23	17803.98	9516.27	2028.48	3309.5	29940.67	6340.27	6442.56	8145.04	10314.81	5627.97	3590.46	21977.29	9527.73	4969.04	5190.03	37520.58	22469.88	21009.81	13971.04	9219.11	24676.51	17909.77	28788.8	20087.51	24426.82	23722.71	13986.57	18671.82	15007.15	43428.49	25902.49	12798.01	27259.48	42660.52	30508.04	19148.51	16931.46	19198.0	15000.72	10432.32	40021.8	26179.77	8097.59	16332.02	20724.15	32241.22	18072.27	35795.9	18745.74	17122.63	29900.41	27152.36	18574.78	17740.56	17093.32	14564.97	23348.77	15543.19	26947.31
Imidazolepropionic acid	30047.39	33329.29	33977.88	41936.29	31877.35	33746.34	28519.01	26573.16	27297.85	32314.03	36265.34	30604.05	29051.73	26399.94	27834.7	29268.32	37594.23	41980.68	27485.15	27963.72	33191.74	26944.67	32097.02	29497.62	23954.78	33131.33	34752.13	30368.87	38607.47	32389.77	31341.13	30531.85	26548.32	29267.53	29165.76	28323.06	31040.93	26448.69	30956.45	28953.39	19137.45	32854.81	28418.51	35378.67	35393.8	34850.3	29095.64	33149.88	15872.45	34521.74	33674.5	29436.89	11352.36	26611.13	33135.74	31991.15	30220.05	36676.72	28917.22	29812.1	22605.56	36231.8	19632.37	36277.13	32727.96	36669.99	31118.19	30358.25	33544.77
Biliverdin	23703.01	975.8	1209.25	4375.76	7224.48	2703.74	3434.55	1634.09	22432.63	2241.44	22897.39	13741.65	30445.0	10369.16	19519.15	44712.55	10810.7	31696.66	10167.12	4455.06	5960.61	29875.69	5223.01	28754.62	17493.32	9607.04	34796.35	22854.7	23362.42	38768.43	6508.41	3808.9	5916.97	6030.34	16660.61	5106.13	12285.7	9772.79	18998.17	13801.41	6688.94	3538.63	8411.27	21357.19	18120.16	52530.89	4822.49	2034.94	10207.97	5667.73	5035.15	4622.8	5628.35	1461.64	3673.06	20870.03	1317.88	6930.53	892.45	4927.59	4404.5	1954.31	909.21	7042.04	7466.62	18738.98	12711.71	6970.5	1957.69
Sulfoglycolithocholic acid	18124.78	28370.57	7863.42	65750.96	87502.92	17109.32	2782.39	8746.59	60971.57	32502.02	7957.73	19797.9	582.66	5261.46	26824.92	18023.39	29557.66	7350.43	991.93	15094.02	9975.92	15486.13	30964.12	6915.43	26413.02	44373.54	63866.86	2423.39	6370.01	22077.81	13167.99	2209.64	2939.25	13045.37	8892.16	11903.52	5759.1	9372.6	28714.66	36253.69	10136.41	7297.6	6614.74	194286.54	32581.83	28653.43	22789.34	29877.52	22509.7	17039.19	15958.22	14169.33	49079.87	786.06	12571.76	5922.96	35704.19	6711.64	13937.29	4146.22	16709.03	3818.27	15845.77	10905.98	61669.19	2118.05	11535.26	49204.77	7312.49
Canrenone	340747.11	350067.19	323690.67	534975.63	634701.98	426056.95	474166.86	197321.98	444414.2	363979.87	395948.85	363846.87	336386.96	431415.88	340951.29	384702.55	505224.02	222080.79	425409.35	163086.82	452647.07	350780.8	494268.1	182957.86	156025.65	592055.69	548195.38	787686.47	431724.89	541989.46	435061.81	402020.88	473722.31	476233.31	484201.48	637971.57	482568.62	294718.26	456124.18	246685.27	260398.07	439970.28	515193.54	820231.81	635921.22	416117.78	257132.01	521993.03	229514.8	277431.33	437811.81	367648.4	431561.32	261956.64	575993.62	454829.47	422153.62	436597.29	614579.4	502314.32	148022.81	634741.92	486685.77	211596.91	745248.73	256094.96	317735.25	770654.26	436712.56
4-Methoxysalicylic acid	417.43	2284.72	17244.08	2296.74	893.89	6924.25	11778.85	44207.96	9369.5	1813.67	26001.58	5090.06	1650.33	3609.56	18413.16	8192.09	18430.6	11577.95	789.5	1591.47	2093.63	6554.88	18944.19	6877.61	10420.1	7991.23	9985.86	2178.83	39989.66	12186.53	13010.81	6927.93	7139.87	2752.57	6970.81	6603.47	10808.41	3585.28	1570.53	14836.76	14759.29	6388.38	11301.15	1145.52	37078.49	12204.61	477.83	8140.88	7213.86	2803.78	8987.31	3524.16	5781.6	15817.75	989.09	9907.93	7315.87	17801.16	4627.94	26665.19	30418.59	32286.32	10298.32	11434.17	5633.05	2647.09	17706.02	1487.08	169484.45
Phenyl beta-D-glucopyranoside	4900.18	4450.65	5712.01	4535.7	6976.47	5846.47	5249.51	4574.51	4498.43	3238.56	7330.19	5865.96	5891.54	8667.91	7694.5	4407.38	5429.05	4577.88	4902.52	4088.85	5093.6	10795.07	12192.58	5547.03	4915.93	7445.39	5299.59	6857.48	3701.54	3414.24	4594.47	4914.05	7103.66	4611.54	4449.53	3497.08	4450.43	2634.7	5503.63	4713.36	4208.72	1173.0	5489.39	4615.83	4421.67	5807.69	3805.57	6361.2	2412.13	4225.16	3671.46	4805.11	1248.85	4615.28	7392.52	3671.96	4803.01	4366.5	4433.05	6114.4	4763.86	8417.57	6064.69	6965.63	4053.86	6065.69	3815.89	4995.24	5554.79
Thymopentin	564.37	1689.88	2028.68	2349.71	5664.77	1043.54	1948.69	1284.74	2306.93	1423.38	1672.9	2352.65	1732.84	1706.09	2087.35	630.68	2021.02	963.45	7444.35	1553.61	1848.92	1418.02	2124.21	2276.27	1968.5	1683.59	1898.03	1230.47	2672.2	701.4	1767.68	1011.29	3515.71	2383.1	589.03	764.43	1841.5	1232.39	1582.01	1653.47	959.67	887.22	1433.11	3322.18	783.63	3529.83	1003.28	941.16	814.1	1622.63	790.67	729.03	1033.97	8859.73	11924.53	729.82	2444.72	1424.1	1982.64	17643.41	910.71	9303.85	1667.84	1432.99	885.46	1848.88	891.73	2843.66	1476.41
L-cystathionine	9404.91	10758.47	9087.54	8289.47	10612.81	8904.69	7425.91	6004.6	6757.75	8715.46	9277.84	9952.26	10053.0	5439.59	10039.98	7826.17	7110.78	9444.2	9017.39	9397.62	9325.08	9322.76	6016.48	10462.34	9087.61	5554.84	8404.23	9808.7	8832.57	8937.84	9743.17	7332.73	8103.64	6692.31	8072.6	9581.24	7883.25	7807.45	7820.99	6330.7	8953.49	10389.95	9128.53	7252.64	6924.05	6846.83	8873.36	8144.24	8993.31	9393.48	9578.85	8328.92	7604.64	10261.04	7567.58	7578.22	8511.11	13374.76	6295.96	6756.79	8969.15	11352.99	10611.77	4217.94	12278.12	8366.93	7618.71	6953.71	8555.75
