feature	泉古菌门..Crenarchaeota.	衣原体门..Chlamydiae.	厚壁菌门..Firmicutes.	变形菌门..Proteobacteria.	拟杆菌门..Bacteroidota.	放线菌门..Actinobacteria.	蓝藻门..Cyanobacteria.	广古菌门..Euryarchaeota.
CON14	-1.26727756975125	-2.35916918430226	-3.72280455819221	-3.85978558458281	-2.35890405943444	-7.43182973540745	-4.49642565833225	-21.7924153908892
CON15	-1.30058113001057	-1.68531702503676	-2.78662424012751	-3.19899154138542	-5.53267960604151	-7.39745970301041	-9.17135541525773	-15.990060485114
CON16	-1.4740770182688	-1.91591375573559	-1.95147303224888	-3.52873027214997	-6.31216392639551	-8.53874069489771	-6.11859201199723	-12.531814637232
CON17	-0.847463906149224	-1.91966280497165	-3.25528154795901	-4.03939598024829	-7.70404529143262	-7.37702664953652	-8.13132339167335	-20.5375283970922
CON18	-1.22821325957292	-1.82980454556103	-2.52262823898528	-3.41540223528829	-7.433369741771	-5.94820676270422	-9.16812091487177	-11.3625935239264
CON19	-1.35842322048214	-1.83561848170758	-3.1920734981396	-3.45090667260402	-8.2702865551721	-3.37494201975083	-5.09471926479104	-14.0500059103155
CON20	-1.49142622491976	-2.28525978799967	-1.96146843349753	-2.96317710384528	-4.57545413864162	-6.82277746193094	-8.19328708104218	-21.7924153908892
CON21	-0.935385421805395	-2.30024445814856	-2.99332486728868	-3.19951750332415	-5.74779491326661	-6.20039624558946	-7.08245007907998	-14.3862308272571
CON22	-1.07490791439619	-2.55164124054057	-2.78876012581838	-2.60283356151171	-4.99355317447135	-6.72673126899092	-7.80509209813002	-13.1558512486443
CON23	-1.69510059348632	-1.7721538105233	-2.26987880850788	-2.5664343151105	-6.85655078891113	-7.29315873223228	-7.11348645488174	-20.4674602766999
CON24	-1.23144769429401	-2.01927834941712	-2.36389582483884	-3.3522300513969	-5.68092743260442	-6.43753572846076	-8.08978432793501	-10.8531202626079
CON25	-1.36276858942506	-1.89400363063464	-2.77969677635643	-2.7917215003808	-4.29798916081652	-9.75697669985635	-13.6638672954649	-21.7924153908892
CON26	-1.48842769498311	-1.60770802996381	-3.00729938379556	-2.45215488650857	-7.65476682712266	-11.0292116808362	-8.41365625984363	-21.7924153908892
CON27	-1.18578155481525	-1.79472570397265	-2.61827567307877	-3.63455260875738	-5.84468515558324	-7.11039795404228	-7.91859440194701	-14.7432585525901
CON28	-1.77850564115484	-1.37622393030094	-2.91263645173124	-3.00558746836824	-8.30821416216436	-4.1050155215525	-7.7687564191823	-13.0669684450959
CON29	-1.28755009047593	-1.80983937557458	-2.70438283619309	-3.16829515741742	-5.76849201454381	-5.85006775139089	-7.70655084338971	-21.7924153908892
CON30	-1.24478491303766	-1.93503305714874	-2.67469746799904	-2.95791577641961	-5.52887019756387	-7.22215481738367	-8.47711334024509	-14.8059608490722
CON31	-1.46091791953766	-2.1477914703887	-2.02701756130184	-2.78218930785496	-6.75361209061612	-7.76866388243555	-7.27842999718732	-14.198870429319
CON32	-1.49329543603116	-1.78023361147599	-2.31744674923296	-2.99890430697645	-5.79180887736645	-7.01538069794156	-9.0212721200049	-12.01566069698
CON33	-1.50543228329585	-1.77556973409317	-2.41768769230276	-3.1943484463827	-4.26390000642859	-7.86458395802439	-8.41814978354046	-15.1002203327059
CON34	-1.15117500492862	-1.9299971364763	-2.76286284628699	-3.10965313757985	-6.32229099139057	-6.66457124673873	-9.13866511402274	-20.4165336601996
CON35	-1.15117057825696	-2.24258849994339	-2.30244943226621	-3.33228442031356	-5.91658634637076	-5.90720587445565	-8.28232049084602	-21.7924153908892
CON36	-1.12485838202758	-2.0763141986997	-2.58981430086661	-3.12365961580818	-6.57803685213319	-6.9396357572121	-7.87204760370638	-10.6724264900286
CON37	-1.34588683797848	-1.94444838801038	-2.47769399868355	-3.10590628781844	-5.16027297212156	-6.05563824702722	-7.01241214422768	-11.4954635568082
CON38	-1.31805289276933	-2.56270271911166	-1.69556675783731	-3.70015089560015	-5.33790655284449	-6.08934029565043	-8.01694708184784	-10.4355089295059
CON39	-1.05885047749516	-2.09047305515758	-2.9576678311287	-3.52757763227681	-4.47842126312934	-7.87919612019639	-5.5985958416197	-21.7924153908892
CON40	-1.53451864647446	-1.55870955562207	-2.59466466051863	-3.2298593140121	-5.83090488478788	-5.40135645158108	-9.04819242351553	-13.3801372283148
CON41	-1.88461313484793	-1.91023543308453	-2.47700885760593	-2.02111515818323	-7.17564945880254	-5.37360916018865	-7.3614949737272	-14.9196423198627
CON42	-1.19764281953358	-1.7232180248173	-3.26630392050971	-2.94203059494214	-8.14463026526829	-5.7285680869396	-7.89383820557272	-11.0034126659974
CON43	-0.985061608720409	-1.99818112258792	-3.01857537356607	-3.44171459976531	-6.14085613374424	-6.54446820819731	-7.90886709512489	-19.3729022473148
CON44	-1.45713683639529	-2.01580540882167	-2.71129099969624	-2.26699736417119	-5.91804080608822	-7.30368477371023	-7.62704130403021	-12.9428224145824
CON45	-1.44974363565454	-1.92991196620147	-2.44209328670661	-2.6170311357855	-7.4455647843587	-7.83898807562847	-6.1233180378873	-21.7924153908892
CON46	-1.33374381675703	-1.82826506964016	-2.6152628981078	-2.90326523318522	-7.11218573515349	-6.13461250345307	-8.30853161471709	-12.4983561735971
CON47	-1.5508733999806	-1.54141885540799	-2.15258643229076	-3.80542021410173	-6.49835836202633	-7.52855280237895	-8.80318686536436	-21.7924153908892
