feature	衣原体目..Chlamydiales.	乳杆菌目..Lactobacillales.	肠杆菌目..Enterobacterales.	拟杆菌目..Bacteroidales.	支原体目..Mycoplasmatales.	梭菌目..Clostridiales.	乳酸菌目..Lachnospirales.	振荡螺旋菌目..Oscillospirales.	丙酸杆菌目..Propionibacteriales.	双歧杆菌目..Bifidobacteriales.	硒单胞菌目..Selenomonadales.
CON18	-0.786203195211207	-4.50090608155964	-2.71167340189517	-6.60339687096166	-2.64548602067179	-4.98987977481252	-9.90508046057485	-8.24549808724707	-5.91791298535811	-10.1899020861847	-17.6431727201953
CON19	-0.777134417467768	-4.41664453778955	-3.08624767354906	-7.58680601947906	-4.65011421748471	-4.98737161978482	-6.9072449355442	-8.80863095333022	-8.81759491407589	-2.62591022481341	-10.7704181207078
CON20	-1.42623499009365	-4.34010779204769	-2.25704092176233	-4.06134874635526	-1.90765545212265	-4.6593325722069	-8.28195792569384	-13.4329286014086	-15.560040519312	-21.5775482276778	-17.8079680327556
CON21	-0.858920474845655	-3.94436157338105	-2.24140788897694	-4.45137416694569	-4.2886549968115	-4.26162920683893	-9.58169054057618	-6.40825227760075	-7.0598993662441	-8.57943103339405	-22.5775482276778
CON22	-1.38611723334843	-3.67858733452041	-1.59371453252505	-3.88653433532731	-3.78691579083488	-4.14758115121349	-9.06855240875764	-8.639829994368	-10.5475065856598	-7.27272697215286	-18.067142838503
CON23	-0.874028132552233	-3.94165823007858	-2.13421782426862	-6.10262082008015	-3.9277626049045	-4.49068340540357	-5.00232922848181	-10.0595595944019	-8.82030321668864	-8.69205046520564	-22.5775482276778
CON24	-0.94254586679292	-3.89659637715905	-2.60651141390273	-4.85032692963029	-2.6772825863438	-4.47491378287077	-8.75323005899645	-7.35349292066663	-8.02965062907485	-13.0705708843882	-22.5775482276778
CON25	-0.962485968028964	-2.64358209411633	-2.35398703365421	-3.3709540996933	-5.93144973293889	-6.68624878783039	-6.88921372174784	-18.7323496328592	-20.666674774574	-21.5775482276778	-22.5775482276778
CON26	-0.584677543253226	-4.68988882701833	-2.04747179002668	-6.79923700325246	-5.35736010787809	-6.18047629408124	-7.67638025546692	-11.3055896692772	-19.519908790078	-21.5775482276778	-13.2161280419009
CON27	-0.639669917625874	-4.00969029578193	-2.76799425039763	-4.89252336066684	-4.46628557892141	-4.08599712391575	-10.6530922969874	-6.65221925911449	-10.1832189316284	-14.950772845628	-17.3430902684068
