feature	肠杆菌科..Enterobacteriaceae.	链球菌科..Streptococcaceae.	支原体科..Mycoplasmataceae.	梭菌科..Clostridiaceae.	乳杆菌科..Lactobacillaceae.	坦纳菌科..Tannerellaceae.	拟杆菌科..Bacteroidaceae.	肠球菌科..Enterococcaceae.	芽孢杆菌科..Bacillaceae.	毛螺菌科..Lachnospiraceae.	明串珠菌科..Leuconostocaceae.	葡萄球菌科..Staphylococcaceae.	瘤胃球菌科..Ruminococcaceae.	丙酸杆菌科..Propionibacteriaceae.	普雷沃菌科..Prevotellaceae.	双歧杆菌科..Bifidobacteriaceae.	韦荣球菌科..Veillonellaceae.	丹毒丝菌科..Erysipelotrichaceae.	柯林斯菌科..Coriobacteriaceae.	真杆菌科..Eubacteriaceae.	阿克曼氏菌科..Akkermansiaceae.
MI3	-1.50145009936254	-5.23719636615492	-2.28965209905578	-3.81372289220062	-5.41602362366631	-4.88652588628154	-3.24975453779455	-5.18315768655314	-4.25673440107424	-8.18635268874045	-7.31365701301552	-4.75782275059154	-10.5009882910615	-8.17301115150129	-19.9986317453378	-14.6953663362283	-17.3958060543694	-8.01534498928042	-5.21527524702491	-5.58764628150102	-17.7993417072643
MI4	-1.69450865516385	-5.07132042633111	-4.20999328758587	-4.13471940812027	-7.62479370886797	-3.11636263234946	-1.63726066630168	-5.6642933389749	-4.27967472988985	-7.60561229566435	-9.35396465013236	-7.84328353960046	-14.9550211269738	-10.9412153274488	-19.9986317453378	-13.446007479486	-11.3335327502275	-8.64703222304433	-11.887276520338	-5.47446392553519	-17.7993417072643
MI5	-1.05599430780279	-4.21818822353608	-2.59301306496131	-3.80404706827648	-5.54913448115077	-6.69360219106519	-4.51070117811711	-5.62921614229187	-4.93249525521556	-6.75535796559371	-6.37553515889893	-6.72966730943379	-10.4980191654239	-5.06201930382776	-19.9986317453378	-16.801799913601	-13.4094824908223	-7.26847018129519	-8.45086073205459	-5.09077829680919	-17.7993417072643
MI6	-1.06350457992662	-4.84984997087678	-5.6279636103608	-3.66089899809425	-5.09539979480744	-3.58438262702361	-2.50357201457367	-5.04880537070432	-6.39464608553601	-6.46976507043236	-9.24275781520701	-7.37752529472656	-11.5000164825366	-7.33559165947142	-19.9986317453378	-6.20049480069756	-16.3679129465293	-8.59708390049681	-7.33834963209664	-6.85063725331972	-17.7993417072643
MI7	-2.03016904570316	-7.27040427124033	-0.984510983307305	-5.63269072501257	-6.63976461816071	-4.95982680546425	-3.39290158398463	-4.56630352627653	-6.19908085782527	-8.96955977764785	-11.5319444303938	-6.56680547042962	-17.8628613085084	-18.8628613085084	-19.9986317453378	-21.2533131417301	-22.2533131417301	-7.42927586735791	-19.2729896484762	-6.47081226914422	-17.7993417072643
MI8	-1.36708022517005	-3.24078801944397	-3.09645352662233	-3.56708669451591	-6.45139749118694	-3.59967306380132	-3.79829418068795	-6.00549546568109	-4.34173285697799	-6.86753266615075	-6.62852248282401	-7.99041603462733	-8.05079608525214	-8.42559467192028	-19.9986317453378	-15.8791592835256	-15.3645861106958	-7.13096643393612	-8.76021821080208	-4.80348913714302	-17.7993417072643
MI9	-1.57979911349561	-5.10684804211946	-1.14527345106006	-4.65398907740565	-7.23583448283954	-5.20441897535471	-5.14045643476228	-7.44644298578062	-5.25484920500702	-7.84761520644552	-5.54793597376486	-8.68688343033281	-14.0444354349509	-9.88749607510307	-18.9986317453378	-21.2533131417301	-15.4136692446166	-7.43591231828845	-8.70861289840515	-6.24876231794093	-17.7993417072643
MI10	-1.33636009903612	-2.0112727209997	-4.89161894523896	-3.14557381271129	-4.33717518490436	-18.2820069758813	-8.20480635006565	-4.1151618465474	-4.50884242157716	-9.2540498690855	-17.9085020822958	-12.008937371249	-18.8628613085084	-8.22430252569144	-19.9986317453378	-21.2533131417301	-11.9865695582205	-12.3084976531079	-19.2729896484762	-4.34883002646149	-17.7993417072643
MI11	-2.10217157101058	-4.73397643658178	-1.2191331214348	-3.39694144930421	-5.48167002905997	-5.91686355231791	-4.32150069300573	-5.93276922743412	-4.85023000225771	-8.10228628456695	-6.43642603699589	-8.10155227537234	-9.13120789386946	-7.71617039459062	-19.9986317453378	-21.2533131417301	-9.97920480042441	-6.98528500393021	-7.98055374399243	-5.23695675993956	-11.5587841044487
MI12	-2.50607660591639	-4.09961087876584	-1.31193801692039	-4.44897588149121	-2.29965710085576	-5.83300759561845	-6.67954289749864	-5.06726677364307	-6.18860922135238	-7.96616111363009	-9.40749759148088	-5.80121926279174	-8.77084561374822	-11.1414418336718	-19.9986317453378	-13.5828770230153	-15.4573461409314	-9.48388792838393	-7.5844148043379	-6.60429655400146	-17.7993417072643
