ID,MI35,MI33,MI32,MI38,MI36,MI34,MI37,MI27,MI28,MI29,MI31,MI17,MI21,MI20,MI24,MI23,MI26,MI19,MI18,MI15,MI25,MI22,MI14,MI16,MI1,MI2,MI3,MI4,MI5,MI6,MI7,MI8,MI9,MI10,MI11,MI12,MI13,CON1,CON2,CON3,CON4,CON5,CON6,CON7,CON8,CON9,CON10,CON11,CON12,CON13,CON14,CON15,CON16,CON17,CON18,CON19,CON20,CON21,CON22,CON23,CON24,CON25,CON26,CON27,CON28,CON29,CON30,CON31,CON32,CON33,CON34,CON35,CON36,CON37,CON38,CON39,CON40,CON41,CON42,CON43,CON44,CON45,CON46,CON47
CON45__6963,31,131,59,31,196,1152,330,181,111,438,5,48,106,294,273,1851,340,961,1128,2,355,46,211,80,282,46,182,140,51,278,843,595,47,926,334,123,95,8,23,133,233,90,83,14,1227,1,202,34,21,1554,107,11,146,230,464,74,78,52,107,746,674,311,0,121,142,108,226,467,8,31,179,71,571,211,7,50,53,15,16,119,62,782,562,108
CON46__15264,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,111,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,2997,64
CON46__17762,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,70,0,1,0,0,0,7,0,0,1,0,0,3,2,0,0,20,0,0,0,0,0,0,0,5,0,1,0,0,0,9,0,0,0,0,48,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,17,0,0,492,12
CON46__28069,84,369,113,76,8523,196,167,599,131,172,6,1808,2,182,44,73,21,52,22038,2,906,103,12,11,216,11,9,204,0,19,3458,36,13925,1128,5,217,4658,1468,179,16,614,58,2543,6,156,20,3,16,12,301,80,0,130,3155,15,101,2011,358,1755,392,24,1692,1662,297,235,703,76,26,16,321,480,119,52,0,239,244,25,13,3637,999,19,6,3619,235
CON46__4000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,0,4,0,0,0,2,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,424,0
CON46__51291,1694,1578,1965,858,965,7294,757,2428,3077,983,2091,2133,1632,1043,832,2044,3517,619,1731,17,4914,326,2426,734,3844,2293,1779,980,825,1411,469,1743,1412,1111,2228,1905,490,622,515,2718,2472,982,147,206,3990,20,1308,745,72,883,329,1018,4431,2065,999,650,4432,738,1796,4631,1024,197,6,1762,1856,583,1716,1956,952,1139,917,2174,1804,675,832,886,955,5850,491,654,1544,2466,14408,396
CON46__60239,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,2,2,0,0,0,0,0,0,2,12,0,0,0,0,0,0,0,0,0,15,0,1717,0
CON46__87773,0,38,1,0,180,0,1,0,0,0,0,0,0,0,0,18,0,10,14,1,43,0,0,0,2,0,0,0,1,0,4,25,9,11,16,0,9,6,0,0,7,0,55,4,27,0,5,0,0,1,3,0,37,0,1,13,15,4,566,0,0,47,148,2,24,25,3,0,0,27,81,64,2,0,1,1,0,0,21,1,440,0,7355,0
CON47__114212,0,0,0,0,0,39,2,0,0,0,0,0,0,0,4,8,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0,0,0,0,83,0,0,0,0,0,0,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,2,0,185
CON47__115041,0,10,0,0,130,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,19,0,0,1,0,0,0,0,30,0,0,0,4,4,0,0,3,69383
